Название,Адрес,Юридический адрес,Фактический адрес,Почтовый адрес,Телефоны,Факс,E-mail,Сайт
"ЗАПОРОЖСКИЙ АВТОМОБИЛЕСТРОИТЕЛЬНЫЙ ЗАВОД, ЧАО","69063, г. Запорожье, просп. Соборный, 8",,,,(044)2011597,,pr@ukravto.ua,http://www.avtozaz.com/
"ЗЕМЛЯ И ВОЛЯ, ООО","17400, Черниговская обл., Бобровицкий р-н, г. Бобровица, ул. Черниговская, 34",,,,(04632)21231,(04632) 21231,Zem_i_vol@ukr.net,http://zemlyaivolya.net/
"ЛНЗ-АГРО, СЕЛЬСКОХОЗЯЙСТВЕННОЕ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",,"20603, Черкасская обл., Шполянский р-н, г. Шпола, ул. Нахимова, 63а","20635, Черкасская обл., Шполянский р-н, с. Лебедин, ул. Заводская, 17",,(097)0007772,,office@lnz.com.ua,https://www.lnz.com.ua/
"МЕДИЦИНСКИЙ ЦЕНТР INTO-SANA, ООО",,"65026, г. Одесса, пер. Жукова адм., 3-7, к. 58","65114, г. Одесса, ул. Королёва, 17",,"(0482)307500, (096)6307500, (095)5307500",,info@into-sana.ua,https://into-sana.ua/
"МИРОНОВСКАЯ ПТИЦЕФАБРИКА, ЧАО",,"19001, Черкасская обл., Каневский р-н, с. Степанцы, ул. Слобода, 25","19001, Черкасская обл., г. Канев, ул. Энергетиков, 245","19001, Черкасская обл., г. Канев, ул. Энергетиков, 245","(095)2683238, (050)3868576, (050)4885479, (04736)39244",(04736) 38523,dl_mpf_administration@mhp.com.ua,https://mpf.mhp.ua/
"МИРОНОВСКИЙ ХЛЕБОПРОДУКТ, ПАО",,"08800, Киевская обл., Мироновский р-н, г. Мироновка, ул. Элеваторная, 1","03143, г. Киев, ул. Заболотного, 158","03143, г. Киев, ул. Заболотного, 158","(044)2070000, (044)2070033",(044) 2070002,office@mhp.com.ua,https://www.mhp.com.ua/
"НИБУЛОН, СЕЛЬСКОХОЗЯЙСТВЕННОЕ ПРЕДПРИЯТИЕ, ООО",,"54002, г. Николаев, спуск Каботажный, 1","54001, г. Николаев, ул. Большая Морская, 63","54001, г. Николаев, ул. Большая Морская, 63","(0512)372344, (0512)580405, (0512)580404, (0512)580418",(0512) 500191,"mail1@nibulon.com.ua, mail3@nibulon.com.ua",http://www.nibulon.com/
"НИВА ПЕРЕЯСЛАВЩИНЫ, УКРАИНСКИЙ-ВЕЛИКОБРИТАНСКОЕ СП, ООО",,"08420, Киевская обл., Переяслав-Хмельницкий р-н, с. Переяславское, ул. Привокзальная, 2","01015, г. Киев, ул. Лаврская, 16",,"(044)3399381, (04567)28192",(04567) 28192,info@niva-sa.com.ua,http://niva-group.com/
"ОРЕЛЬ-ЛИДЕР, ЧАО С ИНОСТРАННЫМИ ИНВЕСТИЦИЯМИ",,"51831, Днепропетровская обл., Петриковский р-н, с. Елизаветовка, ул. Хмельницкого, 1","51831, г. Киев ул. Академика Заболотного, 158","51831, г. Киев ул. Академика Заболотного, 158","(044)2070000, (044)2070002",,office@mhp.com.ua,http://mhp.com.ua/
"РОСАН-АГРО, ООО",,"77023, Ивано-Франковская обл., Рогатинский р-н, с. Подгородье","79000, г. Львов, ул. Родниковая, 38","79000, г. Львов, ул. Родниковая, 38","(032)2213883, (032)2405205, (067)3705019",,"info@rosan-agro.com.ua, info@pkmduda.pl",http://rosan-agro.com.ua/
"ТАС АГРО, ООО","01032, г. Киев, ул. Петлюры, 30",,,,(044)3645964,,office@tasagro.com,https://tasagro.com/
"УКРАГРОКОМ, ООО","28043, Кировоградская обл., Александрийский р-н, с. Головковка, ул. Соборная, 1",,,,"(05235)62721, (050)5901010",(05235) 62721,uac_office@ukr.net,http://ukragrocom.com/
"УКРАИНА 2001, ООО","30600, Хмельницкая обл., пгт. Теофиполь, ул. Небесной Сотни, 37в",,,,(03844)20155,(03844) 20155,ukraine2001.teof@meta.ua,http://www.ukraine-2001.net/
"УКРАИНСКИЙ АГРАРНЫЙ ХОЛДИНГ, ООО","03038, г. Киев, ул. Гринченко, 4, оф. 2",,,,"(044)2575125, (044)2575114",,info@ukragroholding.com,https://www.ukragroholding.com/
"УКРГАЗДОБЫЧА, АО","04053, м. Київ, вул. Кудрявська, 26/28",,,"04053, г. Киев, ул. Кудрявская, 26, к. 28","(044)2723115, (067)5753035",(044) 4612994,office@ugv.com.ua,http://www.ugv.com.ua/
"ЧЕРНИГОВСКАЯ ИНДУСТРИАЛЬНАЯ МОЛОЧНАЯ КОМПАНИЯ, ООО",,"15515, Черниговская обл., с. Шибириновка, ул. Садовая, 6","03039, г. Киев, просп. Лобановского, 119х",,"(067)4474551, (044)3651462",,office.kyiv@imcagro.com.ua,https://imcagro.com.ua/
"ІСКРА, СІЛЬСЬКОГОСПОДАРСЬКЕ ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ",,"20651, Черкасская обл., Шполянский р-н, с. Нечаево",,,"(067)4740305, (04741)90383",,,http://www.agroenergygroup.com/
"АНТЕЙ, СПЕЦІАЛІЗОВАНЕ МП МЕХАНІЗАЦІЇ",,"67550, Одесская обл., Лиманский р-н, с. Григоровка","65031, г. Одесса, ул. Химическая1/27",,"(048)7020080, (063)7020080, (067)6093080",,arhimas@ukr.net,http://arhimas.com/
"ПОДІЛЛЯ, СЕЛЯНСЬКЕ (ФЕРМЕРСЬКЕ) ГОСПОДАРСТВО",,"31355, Хмельницкая обл., Хмельницкий р-н, с. Андрейковцы, ул. Шевченко, 20","Киевская обл., г. Боярка, ул. Белгородская, 43 (магазин ”УниверсалАвто”)","Киевская обл., г. Боярка, ул. Белгородская, 43 (магазин ”УниверсалАвто”)","(067)2495967, (095)8981073",,,https://vaz-opt.com.ua/
"АГРО-ХОЛДИНГ УКРАЇНА, ТОВ",,"04112, г. Киев, ул. Дегтяревская, 62","18001, г. Черкассы, ул. Байды Вишневецкого, 47","18001, г. Черкассы, ул. Байды Вишневецкого, 47","(067)4707872, (067)8254011, (0472)335075",(0472) 335074,"sale@axiom-agro.com.ua, info@axiom-agro.com.ua",http://axiom-agro.com.ua/
"САНТОРГТРЕЙД, ТОВ",,"49050, г. Днепр, просп. Гагарина, 105","г. Киев, ул. Старокиевская, 10и, оф. 205","г. Киев, ул. Старокиевская, 10и, оф. 205, оф. центр ”Кубик центр 2”","(044)5017625, (044)2291009",,,http://www.agrobonus.com/
"АГРОІМПОРТ АЗОТ, ТОВ",,"36000, г. Полтава, ул. Половка, 66а","г. Киев, ул. Виборгская, 99, оф. 104","03680, г. Киев, ул. Виборгская, 99, оф. 104",(044)2227255,,prometal@ukr.net,
"ЗЕРНО-ПЛЮС, ТОВ",,"19612, Черкасская обл., Черкасский р-н, с. Березняки, ул. Садовая, 6","г. Черкассы, бул. Шевченко, 258, оф. 203","18002, г. Черкассы, бул. Шевченко, 258, оф. 203","(0472)500065, (063)1006922, (098)2988044",,"pravis.ua@gmail.com, zerno.plus@ukr.net",
"БИОНИК ХАУС, НВП ТОВ","02088, г. Киев, ул. Маркса, 9",,,,"(096)4433545, (098)1038242",,"info@bionic-house.com.ua, sddbud@mail.ru",http://www.bionic-house.com.ua/
"ТРАНСБУДПІВДЕНЬ, ТОВ",,"49098, г. Днепр, ул. Любарского, 159","08130, Киевская обл, г. Чайки, вул. Валентины Чайки, 16, оф. 339","08130, Киевская обл, г. Чайки, вул. Валентины Чайки, 16, оф. 339",(044)5993665,,btagroup@ukr.net,https://bta.group/
"АГРО-ОВЕН, ООО",,"51100, Днепропетровская обл., Магдалиновский р-н, пгт. Магдалиновка, ул. Советская, 2","49022, г. Днепр, ул. Набережная Ленина, 53, оф. 3","49022, г. Днепр, ул. Молодогвардийская, 32","(056)2334590, (056)2334590",,infomanager@agrooven.com.ua,http://agrooven.com.ua/
"АРЛЕН ГРУПП, ООО","04073, г. Киев, просп. Бандеры, 9в, оф. 116",,,,(097)8249997,,Arlen-group@ukr.net,
"АТЛАНТ ТРЕНД КОМПАНИ, ООО",,"40024, г. Сумы, ул. Кировоградская, 2","04071, г. Киев, ул. Межигорская, 25, оф. 1","04071, г. Киев, ул. Межигорская, 25, оф. 1","(099)5552012, (068)5133888",,evaoleum@ukr.net,https://www.evaoleum.com.ua/
"БАРКОМ, ООО",,"81127, Львовская обл., Пустомытовский р-н, с. Подборцы, ул. Производственная, 6","79015, г. Львов, ул. Героев УПА, 80а","79015, г. Львов, ул. Героев УПА, 80а","(0800)501517, (032)2957262, (067)3626518, (032)2956749",(032) 2955227,v.matiyash@barkom.ua,http://barkom.ua/
"ВЕЛИКА КРУЧА, ОТЕЛЬ",,"37052, Полтавская обл., Пирятинский р-н, с. Великая Круча, ул. Героев Майдана","37052, Полтавская обл., Пирятинский р-н, с. Великая Круча","37052, Полтавская обл., Пирятинский р-н, с. Великая Круча",(05358)68323,(05358) 68323,velykakrucha@ukrpost.ua,http://www.velykakrucha.com.ua/
"ВИТЛЕКС, ООО",,"68742, Одесская обл., Болградский р-н, с. Криничное, ул. Октябрьская, 74","м. Одесса, вул. Бугаевская, 21/51",,"(093)3462338, (098)5009890",,vipvitlex@gmail.com,"http://svarochniy-apparat.com.ua , http://vitlex.com.ua"
"ВУДГОФФ, ООО",,"77334, Ивано-Франковская обл., Калушский р-н, с. Студинка, ул. Леси Украинки, 36","77307, Ивано-Франковская обл., г. Калуш, ул. Косарчин, 13","77301, Ивано-Франковская обл., г. Калуш, а / я 1575","(03472)70242, (050)4385440, (050)3782052, (050)4302600",(03472) 70242,administration@woodhoff.com,http://woodhoff.com/
"ГЛОБАЛ АДВЕРТАЙЗИНГ, ООО",,"46011, г. Львов, ул. Бандеры, 31","01135, г. Киев, ул. Мечникова, 6","м. Київ, вул. Набережнохрещатинська 14 оф. 9",(067)8795188,,,
"ГРОЗБЕР УКРАИНА, ООО","04050, г. Киев, ул. Мельникова, 12",,,,(044)2292303,(044) 5285628,office@grozber.com,https://grozber.com/
"ЗАПОРОЖСКИЙ МАСЛОЖИРКОМБИНАТ, ЧАО","69014, г. Запорожье, ул. Пищевая, 3",,,,"(061)2872057, (061)7664353",,info@zmgk.zp.ua,http://www.zmgk.com.ua/
ИНСТИТУТ КАРТОФЕЛЕВОДСТВА НААН УКРАИНЫ,,"07853, Киевская обл., Бородянский р-н, пгт. Немешаево, ул. Чкалова, 22","07853, Киевская обл., Бородянский р-н, с. Немешаево, ул. Чкалова 22",,(044)7741533,,upri@visti.com,http://my.elvisti.com/upri/
"КИЕВ АГРО СНАБ, ООО",,"04070, г. Киев, ул. Братская, 8, к. 201","г. Киев, ул.Сосюры, 6",,"(050)3877535, (095)2719811",(044) 5038688,,
"КИРОВОГРАДЭЛЕВАТОРМАШ, ООО",,"25006, г. Кропивницкий, ул. Михайловская, 83","25006, г. Кропивницкий, ул. Кирова, 83","25006, г. Кропивницкий, ул. Кирова, 83","(0522)277845, (097)3052345, (050)5852272",(0522) 277845,info@kirelmash.com.ua,https://kirelmash.com.ua/
"ЛУКРУМ, ООО","54017, г. Николаев, просп. Ленина, 67, оф. 826",,,,"(063)3642253, (0512)474524",,,
"МАРКЕТ АГРО ГРУП, ООО",,"03142, г. Киев, ул. Рыкова, 2а, оф. 12",,"г. Киев, ул. Комисара Рыкова, 21","(044)2228596, (044)2228751, (056)7851005",,,
"МГМ-АГРОТЕХ, ООО",,"01021, г. Киев, спуск Печерский, 13, оф. 23","г. Киев, ул. Рыбальская, 22, подъезд 15","г. Киев, ул. Рыбальская, 22, подъезд 15",(044)2214509,,,http://www.mgmagro.com/
НИКОЛАЕВСКИЙ НАЦИОНАЛЬНЫЙ АГРАРНЫЙ УНИВЕРСИТЕТ,"54020, г. Николаев, ул. Гонгадзе, 9",,,,"(0512)341082, (0512)346062, (068)1553821",(0512) 343146,rector@mnau.edu.ua,http://www.mnau.edu.ua/
"ОРГАНИК БЕРРИЗ, ООО",,"12701, Житомирская обл., Барановский р-н, г. Барановка, ул. Соборная, 22","Житомирская обл., г. Барановка, ул. Соборная, 22","Житомирская обл., г. Барановка, ул. Соборная, 22",(096)9835757,,organicberries16@gmail.com,
"ПАН ОРГАНИК, ООО",,"16200, Черниговская обл., Коропский р-н, пгт. Короп, ул. Вознесенская, 59","01032, г. Киев, ул. Петлюры, 6","01032, г. Киев, ул. Петлюры, 6",(044)3608702,,,
"ПОДОЛЬЕ ПАРК, ООО",,"69063, г. Запорожье, ул. Олександровская, 35","03057, г. Киев, ул. Победы, 40а","03057, г. Киев, просп. Победы, 40а",(066)2206666,,podillyapark@ukr.net,
"ПОЛТАВАПЛЕМСЕРВИС, ПАО","38782, Полтавская обл., Полтавский р-н, с. Горбаневка, ул. Мира, 1",,,,"(0532)630833, (0532)633343, (0504)054350, (0532)633345",(0532) 633344,,http://www.poltavaplemservis.pl.ua/
"ПРОЖЕКТОР, ЧАО",,"11603, Житомирская обл., г. Малин, ул. Владимирская, 36","11601, Житомирская обл., г. Малин, ул. Фрунзе, 36","11601, Житомирская обл., г. Малин, ул. Фрунзе, 36",(04133)52648,,prz@ml.zt.ukrtel.net,http://www.prozhektor.net.ua/
"ПРОМВОК, НПП, ООО",,"53810, Днепропетровская обл., Апостоловский р-н, с. Нива Трудовая, ул. Каштановая, 11",,,"(056)7882993, (0562)323629, (050)4211673",(0562) 391902,"skala@drti.com.ua, tovpromvok@ksgagro.com",
"ПТИЦЕФАБРИКА ТЕРНОПОЛЬСКАЯ, ЧАО","47722, Тернопольская обл., Тернопольский р-н, с. Великие Гаи, ул. Галицкая, 180",,,,"(050)3375865, (050)4285010, (050)3770253, (050)4302539",,yadobre@gmail.com,http://yadobre.com.ua/
РАДЕХОВСКИЙ САХАРНЫЙ ЗАВОД,,"80250, Львовская обл., Радеховский р-н, с. Павлов, просп. Юности, 39",,,"(050)3708235, (03255)41004",,office.p@radsugar.com.ua,https://www.diamantsugar.com.ua/ua
"СЕМАГРО, ООО","61080, г. Харьков, просп. Гагарина, 201",,,,"(067)5771609, (067)1201029, (057)7525164, (057)7525175",(099) 4818101,,http://www.semagro.com.ua/
"СЕМЕНА ЧЕРНИГОВЩИНЫ, ЧАО",,"14007, г. Чернигов, ул. В. Дрозда , 3","14007, г. Чернигов, ул. В.Дрозда, 3","14031, г. Чернигов, ул. Любченко, 3","(0462)727585, (0462)694861, (04622)56871",,semenach14@gmail.com,http://www.semena.cn.ua/
"СИТ-РЕЛАЙН, КОМПАНИЯ, ООО",,"73000, г. Херсон, ул. Ладичука, 68б","73013, г. Херсон, ул. Ладичука, 68","73013, г. Херсон, ул. Ладичука, 68","(0552)424294, (0552)224919",(0552) 424284,sintex@ukr.net,
"СОМА ТРЭЙД, ООО",,"25006, г. Кропивницкий, ул. Михайловская, 36а","01000, г. Киев, ул. Кловский Спуск, 7А, оф. 36","01000, г. Киев, ул. Кловский Спуск, 7А, оф. 36",(044)2098337,,,
"СОНЭЛ УКРАИНА, ООО","03148, г. Киев, просп. Леся Курбаса, 2д, оф. 601",,,"03148, г. Киев, ул. Леся Курбаса, 2д, оф. 601",(050)5255639,,,http://www.sonel.ua/
"СПЕЦЭЛЕКТРОМОНТАЖ 2007, ООО",,"03061, г. Киев, ул. Галана, 2а","02099, г. Киев ул. Бориспольская, 9 корпус 90 (4 этаж)",,"(044)3695774, (044)3695775",(044) 3695775,,http://www.sem2007.com.ua/
"ТЕРМОСЕРВИС ПЛЮС, ООО",,"01030, г. Киев, ул. Хмельницкого, 19/21, оф. 21","01030, г. Киев, ул. Богдана Хмельницкого, 19/21, оф. 21","01030, г. Киев, ул. Богдана Хмельницкого, 19/21, оф. 21",(044)3577671,,,
"ТЕРРА-ИНКОМ, ООО",,"04080, г. Киев, ул. Кириловская, 82, оф. 256","04071, г. Киев, ул. Житнеторжская, 8","04071, г. Киев, ул. Житнеторжская, 8",(044)4825542,,,
"ТОРГОВЫЙ ДОМ АГРОКУЛЬТУРА, ООО",,"г. Кропивницкий, ул. Новослободская, 16","г. Кропивницкий, ул. Егорова, 40, оф. 205","г. Кропивницкий, ул. Егорова, 40, оф. 205",(067)2202919,,td.agrokultura@gmail.com,https://tda-shop.com.ua/
"ТРАНСВИТ, ЧП",,"17500, Черниговская обл., г. Прилуки, ул. Победы, 183",,,"(04637)73028, (066)5769831, (067)7671281, (050)3314804",(067) 7671281,"transvit2015@gmail.com, transvit@online.ua",http://www.transvit.com.ua/
"ТУЛЬЧИНСКОЕ ЛЕСООХОТНИЧЬЕ ХОЗЯЙСТВО, ГП","23600, Винницкая обл., Тульчинский р-н, г. Тульчин, ул. Возрождения, 36",,,,"(04335)23374, (04335)23586, (04335)21148",(04335) 23374,tulwood@ukrpost.ua,
"УКРАИНСКИЕ ФРУКТЫ, ООО",,"74370, Херсонская обл., Бериславский р-н, пос. Монастырское, ул. Строительная, 3а","Херсонская обл., с. Монастырское, ул.Строительная, 3а","Херсонская обл., с. Монастырское, ул.Строительная, 3а",(067)1136792,,,
"УКРЭБАИНВЕСТ, УКРАИНСКО-ТУРЕЦКОЕ СП, ООО","61085, г. Харьков, ул. Проскуры, 3",,,,"(057)7190819, (093)7675141, (067)5404275",(099) 5621022,ukreba@mail.ru,http://www.ukreba.com.ua/
"ФИТОСВИТ ЛТД, ООО",,"23224, Винницкая обл., Винницкий р-н, с. Майдан, ул. Независимости, 64а","21000, г. Винница, ул. Хмельницкое шоссе, 23",,"(096)3247727, (0432)554094, (0432)554094",(0432) 611413,phytosvit.smm@gmail.com,http://phytosvit.com/
ХЕРСОНСКИЙ ГОСУДАРСТВЕННЫЙ АГРАРНЫЙ-ЭКОНОМИЧЕСКИЙ УНИВЕРСИТЕТ,"73006, г. Херсон, ул. Стритенская, 23",,,,"(0552)436216, (0552)414421",,office@ksau.kherson.ua,http://www.ksau.kherson.ua/
"ЦЕОЛИТ, ООО",,"07400, Киевская обл., г. Бровары, ул. Есенина, 1","07400, Киевская обл., г. Бровары, ул. Есенина, 1, к. 1","07400, Киевская обл., г. Бровары, ул. Есенина, 1, к. 1","(098)5557019, (066)5557016",(04594) 49999,info@zeolit.com.ua,http://zeovit.com.ua/
